iter	MultiClass
0	1.382178766
1	1.367453782
2	1.355194742
3	1.341362783
4	1.327780315
5	1.318765218
6	1.309933097
7	1.296919755
8	1.280448201
9	1.269607868
10	1.261402732
11	1.249246475
12	1.2389353
13	1.227192235
14	1.219537362
15	1.208139454
16	1.196943734
17	1.189694616
18	1.175515459
19	1.164649968
20	1.15101918
21	1.140786745
22	1.130733823
23	1.122328743
24	1.114090671
25	1.104519694
26	1.095114173
27	1.085870704
28	1.078224793
29	1.069278209
30	1.060484038
31	1.051839152
32	1.043307492
33	1.034951774
34	1.026770697
35	1.018691521
36	1.013372042
37	1.005514529
38	0.999090081
39	0.9914745068
40	0.983984073
41	0.9766162519
42	0.9706574766
43	0.9635113695
44	0.9541315456
45	0.9472425581
46	0.9404642461
47	0.933901486
48	0.9273357155
49	0.9220538125
50	0.9156797238
51	0.9094059734
52	0.9032305925
53	0.8950794146
54	0.8870948899
55	0.8812528542
56	0.8766032853
57	0.8709261088
58	0.8653359823
59	0.8598312283
60	0.8561421519
61	0.8489248996
62	0.8436622828
63	0.8394941337
64	0.8353950299
65	0.8303399457
66	0.8253600721
67	0.8204539945
68	0.8171620557
69	0.8123756803
70	0.8076595201
71	0.803012269
72	0.7984326495
73	0.793919412
74	0.7878934563
75	0.7835284536
76	0.7777011923
77	0.7743030248
78	0.7686522977
79	0.7631104469
80	0.7576749362
81	0.7523432891
82	0.7471130883
83	0.741981974
84	0.7369476436
85	0.7332780266
86	0.7284035474
87	0.7248490151
88	0.7201281655
89	0.716684242
90	0.7132870185
91	0.7099356728
92	0.7054800983
93	0.7011059003
94	0.6979136923
95	0.6936738059
96	0.6895103955
97	0.6854217159
98	0.6814060659
99	0.6774617867
100	0.674571565
101	0.6707452421
102	0.6669860491
103	0.6632924761
104	0.6596630509
105	0.656096339
106	0.6525909418
107	0.6491454963
108	0.6457586741
109	0.6424291803
110	0.6391557527
111	0.6359371611
112	0.6327722065
113	0.62965972
114	0.6265985622
115	0.6235876226
116	0.6206258185
117	0.6184262728
118	0.6155461532
119	0.6127123979
120	0.6106054025
121	0.6085108547
122	0.6057899743
123	0.6031120758
124	0.6004762576
125	0.5978816402
126	0.5953273661
127	0.592812599
128	0.5903365233
129	0.5878983432
130	0.5854972829
131	0.5831325853
132	0.5808035118
133	0.5785093419
134	0.5762493726
135	0.574022918
136	0.5723471373
137	0.5701767985
138	0.5680382117
139	0.5659307496
140	0.5638537999
141	0.5618067649
142	0.5597890613
143	0.5582644082
144	0.5562959304
145	0.5543552824
146	0.5524419296
147	0.5505553501
148	0.5486950341
149	0.5468604837
150	0.5450512127
151	0.543266746
152	0.5415066195
153	0.5397703799
154	0.5380575839
155	0.5363677989
156	0.5347006017
157	0.5330555788
158	0.5318978062
159	0.530289727
160	0.528702747
161	0.5271364863
162	0.5255905734
163	0.5240646452
164	0.5225583466
165	0.5210713302
166	0.5196032563
167	0.5181537928
168	0.5167226146
169	0.5153094039
170	0.514224021
171	0.512841281
172	0.5114756835
173	0.5101269352
174	0.5087947487
175	0.5074788429
176	0.5061789428
177	0.504894779
178	0.5036260878
179	0.5023726112
180	0.5011340963
181	0.4999102958
182	0.4987009673
183	0.4975058735
184	0.4965816644
185	0.4954108284
186	0.4942536087
187	0.4931097853
188	0.4919791428
189	0.49086147
190	0.4897565601
191	0.4886642103
192	0.487584222
193	0.4865164005
194	0.4856871114
195	0.4846400886
196	0.4836047239
197	0.4825808362
198	0.4815682482
199	0.480566786
200	0.4795762791
201	0.4785965602
202	0.4778334144
203	0.4768721793
204	0.4759212943
205	0.4749806036
206	0.4740499545
207	0.4731291972
208	0.4722181846
209	0.4713167725
210	0.4704248192
211	0.4695421859
212	0.4686687363
213	0.4678043366
214	0.4671279319
215	0.4664570593
216	0.4656147886
217	0.4647811261
218	0.4639559484
219	0.4631391344
220	0.4623305652
221	0.461530124
222	0.460737696
223	0.4599531687
224	0.4591764313
225	0.4584073754
226	0.457645894
227	0.4568918825
228	0.4561452377
229	0.4554058585
230	0.4546736455
231	0.4539485009
232	0.4532303288
233	0.4525190349
234	0.4518145263
235	0.4511167121
236	0.450566691
237	0.4498804534
238	0.4492006693
239	0.4485272532
240	0.447860121
241	0.44719919
242	0.446544379
243	0.4458956081
244	0.4452527987
245	0.4446158734
246	0.4439847564
247	0.4433593727
248	0.4428646934
249	0.4422492534
250	0.4416393487
251	0.441034909
252	0.4405564892
253	0.4399615333
254	0.4393718559
255	0.4387873907
256	0.4382080726
257	0.4376338376
258	0.4370646224
259	0.4365003651
260	0.4360528935
261	0.4356085701
262	0.4350566156
263	0.4345094107
264	0.4339668976
265	0.4335365758
266	0.4330022208
267	0.4324724036
268	0.4319470697
269	0.4314261653
270	0.4309096374
271	0.4303974338
272	0.4299905533
273	0.4295864329
274	0.4290849836
275	0.4285876832
276	0.4280944832
277	0.4276053354
278	0.4271201927
279	0.4266390083
280	0.4261617364
281	0.4256883318
282	0.4252187499
283	0.4247529468
284	0.4242908794
285	0.4239229182
286	0.4234673685
287	0.4230154392
288	0.4225670891
289	0.422122278
290	0.4216809661
291	0.4212431142
292	0.4208086836
293	0.4203776364
294	0.4199499349
