iter	MultiClass
0	1.362823687
1	1.33764141
2	1.311376029
3	1.28144103
4	1.257859613
5	1.232270037
6	1.210606161
7	1.188282463
8	1.172971156
9	1.151116511
10	1.135233669
11	1.111411016
12	1.090788151
13	1.072170913
14	1.058957989
15	1.042283568
16	1.028734562
17	1.008804424
18	0.9944524734
19	0.9769617433
20	0.9540767513
21	0.9397348843
22	0.9234746762
23	0.9091887015
24	0.8975396112
25	0.8857125624
26	0.8686631645
27	0.8530685414
28	0.8390555115
29	0.8272224012
30	0.8175821885
31	0.8047116224
32	0.7926476627
33	0.7829860956
34	0.7735140083
35	0.760573597
36	0.7474049642
37	0.7344362509
38	0.7224411702
39	0.7116847352
40	0.7016338323
41	0.6920053853
42	0.6810631761
43	0.6712446498
44	0.6629696808
45	0.6541331561
46	0.6450474118
47	0.6348373764
48	0.6268181356
49	0.6170462775
50	0.6098274784
51	0.6007171789
52	0.593223184
53	0.585618881
54	0.5764057708
55	0.5682030737
56	0.560823117
57	0.5529769566
58	0.5446447423
59	0.5352840478
60	0.5254269008
61	0.5187589345
62	0.5109637356
63	0.5033324672
64	0.4984214841
65	0.4930000402
66	0.4867010257
67	0.4794878401
68	0.4744505096
69	0.4684851668
70	0.4616294967
71	0.4553866265
72	0.4496917718
73	0.4437941777
74	0.43816739
75	0.4321370574
76	0.4263595654
77	0.4199509542
78	0.4129455306
79	0.40693157
80	0.4006618417
81	0.3958645474
82	0.3900695082
83	0.3852894279
84	0.3811677505
85	0.3755992268
86	0.3703675584
87	0.3645813648
88	0.3600961071
89	0.3554008111
90	0.3504263856
91	0.3454090204
92	0.3394883301
93	0.3356977569
94	0.3300090254
95	0.3251941851
96	0.3215568892
97	0.3157228066
98	0.3115107308
99	0.3081873617
100	0.303688232
101	0.2988742543
102	0.2954037241
103	0.2918930339
104	0.2879100708
105	0.2838902388
106	0.2810477914
107	0.2775942372
108	0.2750900248
109	0.2720265322
110	0.268924091
111	0.2660053404
112	0.2631961797
113	0.260256805
114	0.2574678465
115	0.2518749626
116	0.248038677
117	0.2451074583
118	0.2418057242
119	0.2387568251
120	0.2364069888
121	0.2332301022
122	0.2307551565
123	0.2284245924
124	0.2261703921
125	0.2240765296
126	0.2220470927
127	0.2194549719
128	0.2168683463
129	0.2149982078
130	0.2128749744
131	0.21002194
132	0.2078017004
133	0.2054964929
134	0.2037049224
135	0.2018670052
136	0.1997092049
137	0.1976724722
138	0.1958324454
139	0.1934695783
140	0.1912518106
141	0.1894707325
142	0.187701826
143	0.1859037883
144	0.1843047808
145	0.1827082171
146	0.1805933239
147	0.1787705155
148	0.177177298
149	0.1757091919
150	0.1741840695
151	0.1726286768
152	0.1707550537
153	0.168907642
154	0.1672541811
155	0.1658878812
156	0.164305912
157	0.1629796677
158	0.1611356257
159	0.159701735
160	0.158369723
161	0.1569037011
162	0.1556151637
163	0.154431608
164	0.1531266578
165	0.1517721639
166	0.1506619279
167	0.149685417
168	0.1484453529
169	0.1473759406
170	0.1461423369
171	0.1448570744
172	0.1438029623
173	0.1428948279
174	0.1419876429
175	0.1407485659
176	0.1395641195
177	0.1383943168
178	0.1372489069
179	0.1362441826
180	0.1349959065
181	0.1340686556
182	0.133125759
183	0.1320398398
184	0.1311175698
185	0.1302511014
186	0.1291385797
187	0.1283023013
188	0.1271360486
189	0.1263611719
190	0.1250676458
191	0.1242587334
192	0.1231417039
193	0.12236002
194	0.1214965924
195	0.1204968691
196	0.1195460258
197	0.1187336396
198	0.1180413551
199	0.1172832337
200	0.1157759518
201	0.1149286994
202	0.1142876119
203	0.1135475937
204	0.1126999203
205	0.1120856095
206	0.1111680262
207	0.1102898966
208	0.1094692268
209	0.1086788168
210	0.1081416541
211	0.1076549087
212	0.106980009
213	0.1061334017
214	0.1053221961
215	0.1047426624
216	0.1040622276
217	0.1032344196
218	0.1027037033
219	0.1022205302
220	0.1016578286
221	0.1012562623
222	0.1006062589
223	0.09997760586
224	0.09936149295
225	0.09872345373
226	0.09818162916
227	0.09766503783
228	0.09711837473
229	0.09650757509
230	0.09591396855
231	0.09509484467
232	0.09415190421
233	0.09373031009
234	0.09324953959
235	0.09276433551
236	0.09221735073
237	0.09171569718
238	0.09131112531
239	0.09082076168
240	0.09039214088
241	0.08995730605
242	0.08948746289
243	0.08897072069
244	0.08851844936
245	0.08799722123
246	0.08741199532
247	0.08701154174
248	0.08653180881
249	0.08605956415
250	0.0854005633
251	0.08497904861
252	0.08442052061
253	0.08398149194
254	0.08338108314
255	0.08289415116
256	0.08249325079
257	0.08209486831
258	0.08176584503
259	0.08137394497
260	0.08088391519
261	0.0804453457
262	0.08014945201
263	0.07988000447
264	0.07943576497
265	0.07893734625
266	0.07853573689
267	0.07826845802
268	0.07787086349
269	0.0774982092
270	0.07719704091
271	0.07691573303
272	0.07649679663
273	0.07623148332
274	0.07591505494
275	0.07554434994
276	0.07515137877
277	0.0747582292
278	0.07445191686
279	0.07409738405
280	0.07371407108
281	0.07331876865
282	0.07300945291
283	0.07270976052
284	0.07238422379
285	0.07211785529
286	0.07186473511
287	0.07144133343
288	0.07106031558
289	0.07073382289
290	0.07040447691
291	0.07011712538
292	0.06977151713
293	0.06944774604
294	0.06915038567
295	0.06884950663
296	0.06842337109
297	0.06808355019
298	0.0678091501
299	0.06751259338
300	0.06711915078
301	0.06688171388
302	0.06651745522
303	0.06620559719
304	0.06586700259
305	0.06553311839
306	0.06534299231
307	0.06492578429
308	0.06461817102
309	0.06432337547
310	0.06402607608
311	0.06368943493
312	0.06331652152
313	0.06310585838
314	0.0627125321
315	0.06244374731
316	0.06215788279
317	0.06191635608
318	0.06167766194
319	0.06146928166
320	0.06119003314
321	0.06099757303
322	0.06077750423
323	0.06052382853
324	0.06032441114
325	0.05999394876
326	0.05981833686
327	0.05961329289
328	0.05939327017
329	0.05905669357
330	0.05886160721
331	0.05861750968
332	0.05839318675
333	0.05817874852
334	0.05777915647
335	0.05749673236
336	0.05733249673
337	0.05718070449
338	0.05694598371
339	0.05673216945
340	0.05652061386
341	0.05632899952
342	0.05604579625
343	0.05583608202
344	0.05548036954
345	0.05518667327
346	0.05493195344
347	0.05476004696
348	0.05457465668
349	0.05442044821
350	0.05424928743
351	0.05399017965
352	0.05381398865
353	0.05363978035
354	0.05343818803
355	0.05324744722
356	0.05292690825
357	0.05261091758
358	0.05244682291
359	0.05221480128
360	0.05207449241
361	0.05186970477
362	0.0517197903
363	0.05151040597
364	0.05132599958
365	0.05114225423
366	0.05094504797
367	0.05073534712
368	0.05057881264
369	0.05035570391
