Aspergillus terreus,Fusarium brachygibbosum,Solirubrobacter sp.,Udaeobacter sp.,Gemmata sp.,Talaromyces marneffei,Ilumatobacter sp.,Curvularia lunata,Humicola olivacea,Humicola sp.,Rhodoplanes sp.,Nitrosocosmicus sp.,Scytalidium sp.,Rubrobacter sp.,Neobacillus drentensis,Target_Crop_Grouped
0.46113878115433093,-4.206767883318918,1.806485718448587,1.1229797982211038,1.801949338067049,4.007089146782561,1.3793806722508264,-0.199005938879106,-0.28013215453252877,-0.26337184258705437,2.1121764698832473,3.4741550329926,-4.206767883318918,1.4121390633004933,-4.206767883318918,0
2.525995748302719,1.3517488616094862,1.691094260536647,-3.087659760026605,0.5260890847175934,-0.16948331500859834,0.32433940772979514,1.8003552851672642,0.2080625289994425,-0.9882867133928266,0.0006441089949291516,0.31769391783854956,0.2371167950445628,1.0249808634749786,-5.42979378276063,3
-1.8988971951471911,-4.60791476879951,2.4062654708970324,1.667027737564962,1.16697342533594,-4.60791476879951,2.364966529199277,-0.5638452399835944,-0.27032762449035574,3.340799871124466,2.081874049149408,2.820308424752764,2.033722099532385,1.500185417650587,-4.60791476879951,2
3.281475846182217,0.3736920326847435,1.913559104608865,-3.0286643203214645,0.0761677459856489,0.957325856132868,0.2484743309220991,1.5595550688093736,-1.27738562895768,-1.5221028498855516,-0.022571413298516203,1.3191442923702694,-3.4724363689055373,1.1903560083265101,-5.388897096118432,3
0.7421791268688567,0.18269040135559808,1.4613319997584404,-1.8513784086101948,0.4268289407476616,-1.3094173335479822,0.5623644664179522,1.0067681640946322,1.279092751464143,2.619482028710395,0.4850263946985986,1.9899918535477883,-1.0213946122524629,0.7947798994213872,-5.527739821263921,0
-4.7648482679985795,-4.7648482679985795,2.2828603318011425,2.357839515462373,0.9160334503618667,-0.37617277369240165,1.6971310688699266,-0.7369399882536174,-0.681822532822837,2.9184353627897224,2.1685897969886243,2.325691531793979,2.5472742504963772,0.8610405224560908,2.0359254158800106,2
2.8477188633297503,-1.168833838109228,1.988692848703876,-1.3610774544313071,-0.5297355635131497,0.7179628608729464,0.14584498042205082,2.9366072122076865,-5.421221552742443,-0.8054971996928034,0.5138194871469748,1.8117609303780406,-5.421221552742443,1.4768026000364523,0.5879675881167243,1
-3.7266616097629894,-3.7266616097629894,2.9352275852490832,3.7354326443714045,1.8437665542542414,1.0831195917552014,1.5027533624291247,2.7866454501502163,-3.7266616097629894,-3.7266616097629894,3.552893919304833,-1.3183608844684715,1.4519205945548155,1.636582680285926,2.827028157106951,2
1.8794587921027368,-5.1541002460960055,1.6518436141038102,-0.06403647656808555,0.06534766750076094,1.546554185032699,0.6477552179636062,2.8298583939095256,-0.23332720182551914,0.6208299074751094,0.5414440727648603,2.5155935211758336,-1.593780437265918,0.8745863179451634,0.6818866844483058,0
1.4416467750035533,0.087764077926361,1.4136482335182055,-2.034755775933015,-0.2916660628711742,-1.2558953814452027,-0.1729916752681226,1.2215383775967805,0.4682574289128797,-0.5607260347616129,-0.27382569315947203,1.552865473191029,0.255524988547386,0.6975193560520453,0.2383842872078878,3
