Microbe_Name
Flavitalea sp.
Lacibacter cauensis
Lacibacter sp.
Niastella hibisci
Niastella populi
Niastella sp.
Niastella vici
Parafilimonas sp.
Parasegetibacter luojiensis
Parasegetibacter sp.
Parasegetibacter terrae
Pseudoflavitalea sp.
Puia sp.
Sediminibacterium goheungense
Sediminibacterium sp.
Segetibacter koreensis
Segetibacter sp.
Terrimonas lutea
Terrimonas sp.
Haliscomenobacter sp.
Lewinella sp.
Phaeodactylibacter sp.
Amoebophilus asiaticus
Algoriphagus alkaliphilus
Algoriphagus aquatilis
Algoriphagus sp.
Mariniradius saccharolyticus
Cytophaga sp.
Rhodocytophaga aerolata
Rhodocytophaga sp.
Sporocytophaga sp.
Adhaeribacter sp.
Pontibacter populi
Chryseolinea sp.
Flexibacter sp.
Hassallia sp.
Ohtaekwangia kribbensis
Ohtaekwangia sp.
Raineya sp.
Nibrella saemangeumensis
Runella slithyformis
Crocinitomix sp.
Fluviicola sp.
Flavobacterium denitrificans
Flavobacterium enshiense
Flavobacterium filum
Flavobacterium fontis
Flavobacterium sp.
Flavobacterium succinicans
Flavobacterium suncheonense
Chryseobacterium sp.
Cloacibacterium normanense
Lentimicrobium sp.
Arcticibacter sp.
Mucilaginibacter sp.
Solitalea canadensis
Ignavibacterium sp.
Kapabacteria sp.
Bacteriovorax sp.
Peredibacter sp.
Peredibacter starrii
Bdellovibrio bacteriovorus
Bdellovibrio sp.
Oligoflexus sp.
Silvanigrella sp.
Sulfuricurvum kujiense
Sulfuricurvum sp.
Sulfurospirillum sp.
Anaerolinea sp.
Leptolinea sp.
Longilinea sp.
Litorilinea sp.
Chloroflexus sp.
Chloronema sp.
Chloroploca sp.
Herpetosiphon aurantiacus
Herpetosiphon sp.
Kallotenue sp.
Nitrolancea hollandica
Dehalococcoides sp.
Microcoleus steenstrupii
Cyanobacterium aponinum
Geminocystis herdmanii
Oscillatoria duplisecta
Oscillatoria sancta
Gloeocapsa sp.
Limnococcus limneticus
Scytonema hyalinum
Aliinostoc morphoplasticum
Anabaena azotica
Anabaena constricta
Desmonostoc muscorum
Nostoc paludosum
Nostoc sp.
Scytonema sp.
Anabaena sphaerica
Wollea salina
Roholtiella edaphica
Tolypothrix sp.
Koinonema pervagatum
Planktothricoides raciborskii
Arthronema africanum
Thermoleptolyngbya albertanoe
Pantanalinema rosaneae
Limnothrix sp.
Pseudanabaena lonchoides
Leptolyngbya fragilis
Nodosilinea epilithica
Nodosilinea nodulosa
Aphanothece clathrata
Cyanobium gracile
Synechococcus rubescens
Synechococcus elongatus
Obscuribacter phosphatis
Vampirovibrio sp.
Deferrisoma sp.
Deinococcus ficus
Truepera sp.
Desulfobacca sp.
Desulfatiglans sp.
Desulfobacula toluolica
Desulfonema sp.
Desulfatirhabdium sp.
Desulfatitalea sp.
Desulfobulbus propionicus
Desulfobulbus sp.
Electronema sp.
Desulfocapsa sp.
Desulfoprunum sp.
Desulfurivibrio sp.
Desulfomonile sp.
Desulfomonile tiedjei
Desulfomicrobium salsuginis
Desulfomicrobium sp.
Desulfovibrio burkinensis
Desulfovibrio desulfuricans
Desulfovibrio magneticus
Desulfovibrio putealis
Desulfovibrio sp.
Desulfovibrio vulgaris
Desulfuromonas carbonis
Desulfuromonas sp.
Desulfuromonas michiganensis
Geoalkalibacter sp.
Geothermobacter sp.
Pelobacter carbinolicus
Syntrophotalea sp.
