Microbe_Name
Season
treatment
sampling time
Azoarcus olearius
Azoarcus sp.
Azoarcus taiwanensis
Azoarcus tolulyticus
Azonexus caeni
Azospira restricta
Azospira sp.
Azovibrio sp.
Dechlorobacter sp.
Dechloromonas denitrificans
Dechloromonas sp.
Denitratisoma sp.
Georgfuchsia sp.
Propionivibrio sp.
Sulfuritalea sp.
Zoogloea sp.
Aquicella sp.
Acidibacter sp.
Methylobacter luteus
Methylobacter sp.
Methylomicrobium sp.
Permianibacter sp.
Azotobacter chroococcum
Azotobacter sp.
Azotobacter tropicalis
Pseudomonas peli
Polycyclovorans sp.
Povalibacter uvarum
Steroidobacter sp.
Ahniella sp.
Arenimonas daechungensis
Arenimonas sp.
Lysobacter oryzae
Lysobacter sp.
Treponema sp.
Sumerlaea sp.
Chthoniobacter sp.
Udaeobacter sp.
Xiphinematobacter sp.
Cephaloticoccus sp.
Lacunisphaera sp.
Opitutus sp.
Luteolibacter flavescens
Luteolibacter sp.
