Code,Pythium sp.,Humicola sp.,Aspergillus terreus,Curvularia lunata,Didymella exigua,Talaromyces marneffei,Chrysosporium lobatum,Nitrososphaera sp.,Nitrosocosmicus sp.,Dokmaia sp.,Fusarium brachygibbosum,Penicillium pinophilum,Penicillium javanicum,Cladosporium herbarum,Exserohilum rostratum,Scytalidium sp.,Aspergillus deflectus,Acrophialophora jodhpurensis,Fusarium pseudensiforme,Chaetomium megalocarpum,Neobacillus drentensis,Fusarium equiseti,Solirubrobacter sp.,Aspergillus niger,Udaeobacter sp.,Humicola olivacea,Rhodoplanes sp.,Rubrobacter sp.,Gaiella sp.,Bacillus sp.,Nocardioides sp.,Bacillus megaterium,Ilumatobacter sp.,Pedomicrobium sp.,Sphingomonas sp.,Pirellula sp.,Haliangium sp.,Microvirga sp.,Micromonospora sp.,Bryobacter sp.,Povalibacter uvarum,Gemmata sp.,Target_Crop_Grouped
AZM03Y,1.8052554541019,0.20561789921238,0.42866104412072,0.21955809576915,0.2927441276922,14.999651495086,0.0,12.938787787637,8.801323507294299,0.0,0.0,0.0,0.0,1.0106642503659,0.25092353802189,0.0,0.0,0.0,0.42866104412072,0.0,0.0,0.11849167073256,1.6573920890359,0.99672405380916,0.83471198676493,0.20213285007319,2.2514663859227,1.11595728681,3.62460520379,1.2453000451196,2.1642352233419,0.31282899684163,1.0798616333283,0.65724169047977,0.94600691833358,2.4018649420966,1.5716649120168,0.29778914122424,0.99112648518574,3.4471349075049,0.6437058204241201,1.6498721612273,0
AZM03Z,1.4200466618808,0.34099066762383,11.586952620244,5.606155778894499,2.3061737257717,0.7784458004307301,7.160804020100501,6.8004246284501,1.2696390658174,0.26920315865039,3.5781586503948,1.9360193826274,0.10543790380474,0.0,0.74479540559943,1.1710337401292,0.55859655419957,2.2792534099067,0.54737975592247,0.0224335965542,0.0,2.0683776022972,5.0254777070064,1.2046841349605,0.038216560509554,1.1373833452979,0.92356687898089,2.5796178343949,5.0424628450106,0.33545647558386,3.6857749469214,0.5605095541401299,1.2781316348195,0.8598726114649701,3.0403397027601,1.7324840764331,1.2653927813163,1.7346072186837,1.1188959660297,1.963906581741,0.87048832271762,1.5647558386412,3
AZM040,5.8728601715027,11.505236844603,0.056956618042591,0.22782647217036,0.90497737556561,0.0,0.27212606398127,12.021078735276,6.8350898946063,1.6137708445401,0.0,0.0,1.8447615732684,2.58836186438,0.0,3.110464196437,0.0,0.0,1.2562098534949,0.0,0.0,0.363889504161,4.5164290142591,0.0,2.1543707377557,0.30693288611841,3.2641041537508,1.8226906385617,6.9404835709857,1.8505889646621,1.2926224426534,0.22938623682579,4.3335399876007,1.3453192808431,0.93924364538128,2.1109733415995,1.5840049597024,0.41537507749535,0.99504029758215,0.6540607563546199,1.3329200247985,1.3050216986981,2
AZM041,2.2717711400926,0.19015565839293,23.68026924695,4.2288599074464,5.3950357593605,2.3138409760202,6.2128733697939,14.922432898301,3.3243043585324,0.0,1.2890197728229,0.33487589398401,0.40891880521666,3.6583929322676,0.0,0.023559108119478,0.04206983592764,4.351703828355101,0.99453092132941,1.0265039966344,0.0,2.2616743794699,6.0268406796356,4.9861169541439,0.038988754822293,0.24400504838031,0.8659607650004101,2.9221045719445,2.8071903472051,2.9631453664943,2.8071903472051,1.3317737831404,1.136830009029,1.7934827218255,1.9986866945744,1.5533940737093,0.32832635639826,1.41385537224,2.4111466797997,0.83723220881556,0.49659361405237,0.95625051300993,3
AZM042,0.87473913236535,14.032458594201,2.1435549043115,2.7940588783802,0.7948137294081101,0.27196838506283,0.12543847964122,11.074483621949,7.4754850824119,15.134763109986,1.2233026952622,0.061054127259003,0.39518671462191,0.28750943563785,0.96465521069224,0.36410461347187,0.30638071133609,0.59611029705608,2.3511389369921,1.3609520003552,0.0,1.1988810443586,4.4043396620071,0.076595177834022,0.15647819737117,3.6699080857866,1.6565825161694,2.2595451700396,3.6991445858544,1.0515334863342,3.1546004590027,0.6488629250990999,1.7901105779261,1.2831212184436,2.1593991237221,1.6419778844148,1.1892343000209,0.94930106405174,0.8282912580847099,1.591904861256,0.79073649071563,1.5626955977467,0
AZM043,44.5804421842,8.8221350687411,0.0,0.22410895142869,0.094815325604448,0.32323406456062,0.0,10.706695005313,4.875132837407,0.53010386587941,0.0,0.060337025384649,1.7670128862647,0.63353876653881,0.0,6.0854199887946,0.59906046631901,0.0,0.73697366719821,0.0,3.6477151965994,0.35771236478042,4.6705632306057,0.0,5.0345377258236,0.23703831401112,4.1657810839532,1.1238044633369,5.57651434644,1.7959617428268,1.0945802337938,0.39319872476089,2.5982996811902,1.1769394261424,0.61902231668438,2.3990435706695,1.6604675876727,0.19659936238045,0.62964930924548,0.46227417640808,1.2486716259299,1.1875664187035,2
AZM044,3.934517395989,0.4066594835077,15.849292690556,17.322998853012,1.550172048243,1.8803656459629,1.8178026485002,17.925597437793,5.6220744025622,0.0,0.28153348858225,0.60825136422092,1.5049876611866,0.0,0.3788537068576,0.0,0.20506760279448,2.2001320774391,8.397344548329901,2.3078794619582,1.6506528701651,0.23634910152584,6.711012564671099,1.3312015571235,0.23158413402316,0.0,1.5323971421532,4.0206947524021,4.40009854644,2.3651145602365,1.6309435821631,2.3010593742301,1.0593742301059,1.2367578221237,1.7738359201774,1.5570337521557,0.69475240206948,1.1382113821138,0.8474993840847499,1.3353042621335,1.3254496181325,0.53707809805371,1
AZM045,4.7603239941575,0.0,0.0,2.7353605098924,0.099588368078608,0.49462222812376,0.0,0.11158092553441,0.041108762038995,0.0,0.0,0.0,0.0,0.19585712388793,0.0,0.71703625016598,0.0,0.0,1.1054308856726,0.0,2.8482499412732,0.35851812508299,3.1741836974395,0.0,7.070707070707099,0.0,5.8902983321588,0.8632840028188901,3.523608174771,0.7340850364106201,0.6606765327695601,0.4492600422833,0.75463941743012,2.1552736669016,1.5180878552972,1.4358703312192,1.6208597603946,0.044045102184637,2.0113929997651,0.4287056612638001,3.1418839558374,1.0629551327226,2
AZM046,0.53400383141762,1.3050766283525,4.6048850574713,11.918103448276,0.0,3.2998084291188,0.093390804597701,8.0492740088498,8.702999577524299,0.059865900383142,0.0,0.67289272030651,0.56513409961686,0.023946360153257,1.0153256704981,0.13888888888889,6.0009578544061,5.2274904214559,1.2404214559387,0.0,1.3874991661664,0.0,3.6666444311031,0.17480842911877,0.65594912503057,0.5531609195402301,1.2051675449714,1.6832321615191,3.2930869632891,1.2340737775999,1.3074511373491,2.1279434327263,1.3408044826896,3.9557067573878,1.0406243746248,3.041825095057,2.0278833967047,1.1540257487826,1.3096746937051,0.8783047606341601,1.5209125475285,0.74711493562804,0
AZM047,0.79276635962252,0.77724958034165,5.7828215147198,4.6395170049795,6.890860617003599,0.3858035575743,5.1085469241512,13.865881342414,6.4635867231118,0.75961687661339,1.4903161191124,1.0763002355729,0.052898111184777,0.047255645991734,0.25179500923954,1.7632703728259,0.98531548433511,1.5784796377537,2.7852618809158,2.1920977274971,1.7332351678017,2.7803247238719,5.6230443585496,0.3484222256704,0.17485735321185,2.1822234134093,1.0368734278177,2.7455672127124,3.7456285661697,1.0153997177741,2.8130560157065,2.0154610712314,1.1473096508988,1.2393398367998,2.5860482238174,1.7209644763482,0.7454445057979,1.3743174427879,0.72397079575434,1.4019264985582,1.0184673906375,1.0184673906375,3
